haltepunkt;haltestelle;kurzbez;langbez;bezirk;longitude;latitude
1063;7300;lory;Lorystraße;11;16,413704;48,172388
13;53;K Oper;Kärntner Ring, Oper;1;16,370099;48,202091
1801;7730;ratsch;Ratschkygasse;12;16,3264;48,177521
1802;7712;hohenb;Hohenbergstraße;12;16,325522;48,17424
1832;7712;hohenb;Hohenbergstraße;12;16,325522;48,17424
1837;7750;ruckti;Ruckergasse / Tivoligasse;12;16,326901;48,181293
1838;7730;ratsch;Ratschkygasse;12;16,3264;48,177521
1847;1847;sche;Schedifkaplatz;12;16,329729;48,173103
1848;1847;sche;Schedifkaplatz;12;16,329729;48,173103
1850;7729;meihpt;Meidling Hauptstraße U;12;16,328219;48,183895
2587;7300;lory;Lorystraße;11;16,413704;48,172388
2607;2607;busivi;Business Park Vienna;12;16,347512;48,1683
2619;250;viehmg;Viehmarktgasse;3;16,401308;48,190644
2620;250;viehmg;Viehmarktgasse;3;16,401308;48,190644
284;7104;stmarx;St. Marx S;3;16,400073;48,18877
293;7104;stmarx;St. Marx S;3;16,400073;48,18877
303;30;südbah;Quartier Belvedere S;4;16,382336;48,185873
304;7114;fasang;Fasangasse;3;16,384739;48,188219
339;30;südbah;Quartier Belvedere S;4;16,382336;48,185873
396;7153;gumpi;Gumpendorfer Straße U;6;16,337627;48,190369
397;7154;marggü;Margaretengürtel U;5;16,342428;48,188811
398;7155;gürtar;Arbeitergasse;5;16,345913;48,184228
399;7156;eichen;Eichenstraße;5;16,350114;48,181373
400;35;matz;Matzleinsdorfer Platz S;5;16,358169;48,180837
4101;155;RP;Reumannplatz;1;16,379343;48,174577
4102;167;ZK;Kagran;1;16,434;48,244364
4103;156;KE;Keplerplatz;1;16,37641;48,178057
4104;165;AD;Alte Donau;1;16,425247;48,236603
4105;157;SL;Südtiroler Platz;1;16,37363;48,187237
4106;164;KM;Kaisermühlen, V.I.C.;1;16,415579;48,232118
4107;158;TA;Taubstummengasse;1;16,369944;48,194242
4108;163;DI;Donauinsel;1;16,412325;48,229802
4109;159;KP;Karlsplatz;4;16,368962;48,201323
4110;7211;VS;Vorgartenstraße;1;16,401695;48,224041
4111;137;SZ;Stephansplatz;1;16,37263;48,209211
4112;162;PR;Praterstern;1;16,392238;48,21876
4113;160;SP;Schwedenplatz;1;16,377667;48,211876
4114;161;NP;Nestroyplatz;1;16,386216;48,215532
4115;161;NP;Nestroyplatz;1;16,386216;48,215532
4116;160;SP;Schwedenplatz;1;16,377667;48,211876
4117;162;PR;Praterstern;1;16,392238;48,21876
4118;137;SZ;Stephansplatz;1;16,37263;48,209211
4119;7211;VS;Vorgartenstraße;1;16,401695;48,224041
4120;159;KP;Karlsplatz;1;16,368962;48,201323
4121;163;DI;Donauinsel;1;16,412325;48,229802
4122;158;TA;Taubstummengasse;1;16,369944;48,194242
4123;164;KM;Kaisermühlen, V.I.C.;1;16,415579;48,232118
4124;157;SL;Südtiroler Platz;1;16,37363;48,187237
4125;165;AD;Alte Donau;1;16,425247;48,236603
4126;156;KE;Keplerplatz;1;16,37641;48,178057
4127;166;ZKe;Kagran;1;16,434;48,244364
4128;168;RPe;Reumannplatz;1;16,379343;48,174577
4181;4181;KT;Kagraner Platz;1;16,443308;48,249769
4182;4182;RB;Rennbahnweg;1;16,449467;48,257093
4183;4183;AK;Aderklaaer Straße;1;16,451971;48,263717
4184;4184;GF;Großfeldsiedlung;1;16,448125;48,270133
4185;4185;LUe;Leopoldau;1;16,45197;48,278421
4186;4181;KT;Kagraner Platz;1;16,443308;48,249769
4187;4182;RB;Rennbahnweg;1;16,449467;48,257093
4188;4183;AK;Aderklaaer Straße;1;16,451971;48,263717
4189;4184;GF;Großfeldsiedlung;1;16,448125;48,270133
4190;4185;LU;Leopoldau;1;16,45197;48,278421
4202;159;KP;Karlsplatz;1;16,368962;48,201323
427;7156;eichen;Eichenstraße;5;16,350114;48,181373
428;7155;gürtar;Arbeitergasse;5;16,345913;48,184228
429;7154;marggü;Margaretengürtel U;6;16,342428;48,188811
430;7153;gumpi;Gumpendorfer Straße U;6;16,337627;48,190369
4416;159;KP;Karlsplatz;1;16,368962;48,201323
462;7171;urlopl;Urban-Loritz-Platz;15;16,337601;48,20126
464;7151;_WBHF;Westbahnhof S U;15;16,338916;48,196469
481;7174;mariag;Mariahilfer Gürtel;6;16,338717;48,192973
482;7174;mariag;Mariahilfer Gürtel;6;16,338717;48,192973
483;7151;_WBHF;Westbahnhof S U;7;16,338916;48,196469
485;7171;urlopl;Urban-Loritz-Platz;15;16,337601;48,20126
508;7170;_burgg;Burggasse, Stadthalle U;7;16,337134;48,20346
51;53;K Oper;Kärntner Ring, Oper;1;16,370099;48,202091
517;517;wien;Wienerbergbrücke;12;16,326827;48,172156
779;95;eibes;Eibesbrunnergasse;12;16,337533;48,171268
780;99;ameuro;Am Europlatz;12;16,333004;48,171338
781;95;eibes;Eibesbrunnergasse;10;16,337533;48,171268
782;48;_ambsü;Gesundheitszentrum Süd;10;16,345385;48,169737
783;96;altdor;Triester Str. / Altdorferstraße;10;16,349738;48,16858
784;44;_FADI;Stefan-Fadinger-Platz;10;16,354392;48,168147
785;785;guss;Gußriegelstraße;10;16,358928;48,166331
786;98;raxrud;Raxstraße / Rudolfshügelgasse;10;16,365161;48,166131
787;66;laxrax;Laxenburger Straße / Raxstraße;10;16,368855;48,16552
788;7290;daumeg;Daumegasse;10;16,374882;48,163668
789;2234;landgu;Altes Landgut, Laaerbergbad;10;16,383012;48,161547
790;517;wien;Wienerbergbrücke;12;16,326827;48,172156
791;7291;neulan;Neulandschule;10;16,387306;48,158743
792;7292;flgega;Florian-Geyer-Gasse;10;16,390435;48,157158
793;7293;südost;Siedlung Südost;10;16,394393;48,156382
794;7294;langsu;Langsulzgasse;10;16,400071;48,158084
795;7295;männer;Männertreugasse;10;16,405421;48,160069
796;7296;maxmau;Max-Mauermann-Gasse;10;16,409293;48,163017
797;7297;simost;Grillgasse S;11;16,408171;48,167204
798;7265;amkana;Am Kanal;11;16,410307;48,169606
799;7162;grill;Enkplatz U, Grillgasse;11;16,416036;48,174041
800;7265;amkana;Am Kanal;11;16,410307;48,169606
802;7293;südost;Siedlung Südost;10;16,394393;48,156382
803;7292;flgega;Florian-Geyer-Gasse;10;16,390435;48,157158
804;7291;neulan;Neulandschule;10;16,387306;48,158743
806;2234;landgu;Altes Landgut, Laaerbergbad;10;16,383012;48,161547
807;99;ameuro;Am Europlatz;10;16,333004;48,171338
808;7290;daumeg;Daumegasse;10;16,374882;48,163668
809;66;laxrax;Laxenburger Straße / Raxstraße;10;16,368855;48,16552
810;98;raxrud;Raxstraße / Rudolfshügelgasse;10;16,365161;48,166131
811;785;guss;Gußriegelstraße;10;16,358928;48,166331
812;44;_FADI;Stefan-Fadinger-Platz;10;16,354392;48,168147
813;2607;altdor;Business Park Vienna;12;16,347512;48,1683
814;48;_ambsü;Gesundheitszentrum Süd;12;16,345385;48,169737
816;7297;simost;Grillgasse S;11;16,408171;48,167204
817;7296;maxmau;Max-Mauermann-Gasse;10;16,409293;48,163017
818;7295;männer;Männertreugasse;10;16,405421;48,160069
819;7294;langsu;Langsulzgasse;10;16,400071;48,158084
821;7301;swato;Swatoschgasse;11;16,41065;48,165932
822;7301;swato;Swatoschgasse;11;16,41065;48,165932
831;13;klieb;Kliebergasse;5;16,364374;48,183057
832;77;blecht;Blechturmgasse;4;16,368235;48,184127
833;17;südpla;Hauptbahnhof S U;4;16,37363;48,187237
834;7308;hdriml;Heinrich-Drimmel-Platz;3;16,391242;48,187969
835;7309;wildgp;Wildgansplatz;3;16,396145;48,186282
836;7310;baugas;Baumgasse;3;16,404577;48,19314
837;7311;schlhg;Schlachthausgasse U;3;16,407068;48,194207
842;7314;erdstr;Erdbergstraße;3;16,408184;48,195174
843;7310;baugas;Baumgasse;3;16,404577;48,19314
844;7309;wildgp;Wildgansplatz;3;16,396145;48,186282
845;7308;hdriml;Heinrich-Drimmel-Platz;3;16,391242;48,187969
846;7114;fasang;Fasangasse;3;16,384739;48,188219
847;17;südpla;Hauptbahnhof S U;4;16,37363;48,187237
848;77;blecht;Blechturmgasse;4;16,368235;48,184127
849;13;klieb;Kliebergasse;5;16,364374;48,183057
851;35;matz;Matzleinsdorfer Platz S;5;16,358169;48,180837
4421;159;KP;Karlsplatz;1;16,368962;48,201323
3213;7750;ruckti;Ruckergasse / Tivoligasse;12;16,326901;48,181293
1710;53;K Oper;Kärntner Ring, Oper;1;16,370099;48,202091
1678;7676;käring;Kärntner Ring, Oper;1;16,370099;48,202091
