FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.1,POINT (16.389769898563777 48.173790150890646),Absberggasse,1
HALTESTELLEWLOGD.2,POINT (16.4488998989005 48.2845301505428),Achengasse,2
HALTESTELLEWLOGD.3,POINT (16.385809898647477 48.15293015011631),Ada-Christen-Gasse,3
HALTESTELLEWLOGD.4,POINT (16.535119899833106 48.21564015089924),Adam-Betz-Gasse,4
HALTESTELLEWLOGD.5,POINT (16.337989899178588 48.142290150167995),Adamovichgasse,5
HALTESTELLEWLOGD.6,POINT (16.454189899018537 48.27754015051874),Adolf-Loos-Gasse,6
HALTESTELLEWLOGD.7,POINT (16.38593989894325 48.14861015091955),Adolf-Unger-Gasse,7
HALTESTELLEWLOGD.8,POINT (16.451689899135673 48.24705015062926),Afritschgasse,8
HALTESTELLEWLOGD.9,POINT (16.50719989991542 48.25107015030325),Agavenweg,9
HALTESTELLEWLOGD.10,POINT (16.307599898601755 48.250430150783295),Agnesgasse,10
HALTESTELLEWLOGD.11,POINT (16.374979898499163 48.2461101507884),Aignerstraße,11
HALTESTELLEWLOGD.12,POINT (16.316649898630654 48.20356015029999),Auf der Schmelz,12
HALTESTELLEWLOGD.13,POINT (16.37437989943198 48.21306015060812),Morzinplatz,13
HALTESTELLEWLOGD.14,POINT (16.382099899452786 48.1542301507217),Alaudagasse,14
HALTESTELLEWLOGD.15,POINT (16.48492990008422 48.16004015025363),Albern Sendnergasse,15
HALTESTELLEWLOGD.16,POINT (16.494689899316445 48.15854015042832),Alberner Hafen,16
HALTESTELLEWLOGD.17,POINT (16.472449898869094 48.172110150756325),Alberner Hafenzufahrtsstraße,17
HALTESTELLEWLOGD.18,POINT (16.48456989923723 48.155830150609326),Alberner Straße,18
HALTESTELLEWLOGD.19,POINT (16.34389989919028 48.21060015007059),Albertgasse,19
HALTESTELLEWLOGD.20,POINT (16.368969899280128 48.20499015030303),Albertinaplatz,20
HALTESTELLEWLOGD.21,POINT (16.42098989879588 48.2530801502483),Carminweg,21
HALTESTELLEWLOGD.22,POINT (16.531539898917032 48.24895015095963),Algenweg,22
HALTESTELLEWLOGD.23,POINT (16.387159899098148 48.23809015040199),Allerheiligengasse,23
HALTESTELLEWLOGD.24,POINT (16.43019989881398 48.28633015044872),Gerasdorfer Str./Ruthnergasse,24
HALTESTELLEWLOGD.25,POINT (16.241059898837012 48.205590149999566),Alois-Behr-Straße,25
HALTESTELLEWLOGD.26,POINT (16.324369898608325 48.2316901502729),Alsegger Straße,26
HALTESTELLEWLOGD.27,POINT (16.341959899557644 48.2171201503643),Alser Straße,27
HALTESTELLEWLOGD.28,POINT (16.324319898466214 48.18032015015686),Aichholzgasse,28
HALTESTELLEWLOGD.29,POINT (16.35439989912513 48.22471015071301),Nußdorfer Str/Alserbachstraße,29
HALTESTELLEWLOGD.30,POINT (16.3496298990063 48.16863015067536),Triester Str/Altdorferstraße,30
HALTESTELLEWLOGD.31,POINT (16.424079899760805 48.23775015036564),Alte Donau,31
HALTESTELLEWLOGD.32,POINT (16.323609898508188 48.17760015074001),Aichholzgasse/Ratschkygasse,32
HALTESTELLEWLOGD.33,POINT (16.38329989878142 48.16129015013861),Altes Landgut,33
HALTESTELLEWLOGD.34,POINT (16.359549899491093 48.22884015023664),Althanstraße,34
HALTESTELLEWLOGD.35,POINT (16.31654989944128 48.16559015074658),Breitenfurter St/Altmannsd Str,35
HALTESTELLEWLOGD.36,POINT (16.2608598992957 48.19491015055483),Auhofstraße,36
HALTESTELLEWLOGD.37,POINT (16.30458989892483 48.1712501500947),Am Fasangarten,37
HALTESTELLEWLOGD.38,POINT (16.48433989950532 48.23895015088971),Am Heidjöchl,38
HALTESTELLEWLOGD.39,POINT (16.48853989922885 48.23687015056265),Am Heidjöchl/Hausfeldstraße,39
HALTESTELLEWLOGD.40,POINT (16.438059899272567 48.163920150865515),Am Himmelreich,40
HALTESTELLEWLOGD.41,POINT (16.34742989838075 48.18677015007104),Am Hundsturm,41
HALTESTELLEWLOGD.42,POINT (16.41038989927651 48.17023015064997),Am Kanal,42
HALTESTELLEWLOGD.43,POINT (16.41837989871851 48.16352015058913),Am Kanal/Hasenleitengasse,43
HALTESTELLEWLOGD.44,POINT (16.382619899345492 48.199100150124345),Am Modenapark,44
HALTESTELLEWLOGD.45,POINT (16.30147989915938 48.18605015083983),Am Platz,45
HALTESTELLEWLOGD.46,POINT (16.290899898926543 48.16188015025438),Am Rosenhügel,46
HALTESTELLEWLOGD.47,POINT (16.409259899650955 48.22808015065241),Reichsbrücke,47
